,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
264,unprofessional and unethical,"Mar 19, 2017", Anonymous Employee,"London, England",1.0,health insurance and decent,wish there was a rating of honestly so many things to list unprofessional and unethical behaviors from regional directors and from district managers many store managers break labor rules as well as higher upper management and corporate partners this place is an unhealthy enviorment and if you value your mental and emotional health stay away there are a lot of underlying racist values as well,L'Occitane,0.868,0.132,0.0,-0.765
265,it was great at the beginning,"Mar 11, 2017", ,"Las Vegas, NV",2.0, i always looked forward to gratis lovely product the store set up is beautiful,i loved this job when i was a part timer but when i got promoted i began to see the negative parts mostly everything ive read on here is true sadly why do they sale other skin care products whats the point they only want you to sell divine you can make your skincare percentage but if you dont sell a lot of divine forget about being recognized divine isnt for everyone and frankly not everyone can afford it so why shove it down every customers throat we have other awesome skin care that just sits there worklife balance hahahaha whats that im even not a manager but i here i am taking calls of my days all the time speaking of management hire competent managers my manager hires people but doesnt train them properly so im having to go behind her and train them the right way she doesnt work very efficiently as a manager to the point that the part timers seek me for guidance during my time ive gone through several store managers and a couple of district managers we went months without a manager working open to closes days by ourselves days on end each time we didnt have a manager even when it was known way in advance wed confront the higher ups but the were too busy opening a new flagship stores to care about our little store part timers essential rule the place no room to grow and false hopes doesnt come out with new product like they used to but discontinues all the time which is frustrating for customers too many last min changes to campaign often times instructions are vague and unclear the company is going down hill with all the new changes coming soon and all the dms being let go its really concerning the amount of people leaving corporate is insane every bonjour memo another person leaving i could go on and on but bottom line only work as part time it will save you a lot of stress,L'Occitane,0.0,0.549,0.451,0.6249
266,learn a lot,"Mar 9, 2017", Customer Service Representative,"Leeds, England",2.0,possibility to learn a lot,senior employees quite rude and like to insult their employees,L'Occitane,0.0,1.0,0.0,0.0
267,great experience to build sales skills,"Feb 24, 2017", Part Time Sales Associate,"New York, NY",4.0, great team environment great one to one quality coaching pays well great start to sales job positive environment and friendly colleagues, older colleagues harder to connect with colleagues with age gap expects you to work hours minimum can get real slow at times can get mundane once you are too familiar with your job,L'Occitane,0.0,0.549,0.451,0.6249
268,brand manager,"Feb 22, 2017", Anonymous Employee,Singapore,4.0,entrepreneur pragmatic great branding family spirit,wages competitiveness hr career centre,L'Occitane,0.0,1.0,0.0,0.0
269,culture is okay learnt a lot,"Feb 20, 2017", Digital & Marketing Executive,"Saint Louis, MO",3.0,theres a lot to learn within the company itself,departments are not in sync,L'Occitane,0.0,0.678,0.322,0.2263
270,fantastic company,"Jan 26, 2017", Seasonal Sales Associate,"Birmingham, England",5.0,interesting and compelling company history culture and ethic wonderful team in my location as well as amazing store manager comprehensive training provided in company history culture product knowledge sales techniques and superior client service on everything from how to effectively demonstrate beauty rituals with iconic personal care products such as face cream hand cream mini facials and one minute hand scrubs to small details such as the french wrap technique and others in complementary gift wrap services an exciting place to work with gorgeous products and a very generous employee discount among other regular perks and incentives head office communications informative and supportive i really enjoyed selling the products because i am also a loyal customer and know a lot about the brand to begin with also sales without the stress of commission is much easier and enjoyable to achieve team work lots of fun during work being able to learn from my colleagues and being appreciated each day by my manager and coworkers in many different ways a real shot in the arm for confidence after a few less than stellar company culture and management experiences in the recent past i was energized and inspired to go to work each day since i worked in my neighbourhood at the companys flagship store it was local great hours great customers many familiar faces and the shoppe itself is beautiful clean bright and so charmingly french it was a pleasure just sweeping the beautiful tiled floor after a days shift i didnt even mind wearing the apron,no cons i am only sorry that they could not keep me on after my seasonal contract ended,L'Occitane,0.0,0.217,0.783,0.5574
271,sales associate,"Jan 24, 2017", ,"Birmingham, England",5.0,flexible hour work life balance discounts,wage benefits no opportunities for advancement,L'Occitane,0.0,1.0,0.0,0.0
272,great side job,"Jan 23, 2017", ,"Birmingham, England",4.0,really enjoy working here it really feels like a team effort and not to mention the products are amazing,sometimes the goals are really high putting a lot of stress on the employees,L'Occitane,0.0,0.328,0.672,0.6249
273,accountant,"Jan 18, 2017", Payroll Administrative & Accountant,"Birmingham, England",5.0,good working environment nice director and friendly collegue,office location is not easy to get,L'Occitane,0.0,1.0,0.0,0.0
274,sales assistant,"Jan 13, 2017", ,"Vancouver, BC",5.0,good allocation and staff discount,hard to get group commision and no extra paid on xmas eve and new year eve,L'Occitane,0.0,1.0,0.0,0.0
275,really nice people and benefits,"Jan 10, 2017", Project Manager,"Thornhill, ON",5.0,i love my team and the people around me they really care for you and have your back,i spend too much with my discount,L'Occitane,0.0,0.345,0.655,0.6901
276,best french based company,"Dec 30, 2016", Junior Executive Client Experience Assistant,"Houston, TX",5.0,this is one of the best company ive ever worked for they gave me a great opportunity and they also gave me a lot of room for personal contributions to cultural awareness and cultural diversity,all the corporate location are in only two states,L'Occitane,0.0,0.417,0.583,0.6369
